"nspname","oid","typnamespace","typname","typtype","typrelid","typnotnull","relkind","elemtypoid","elemtypname","elemrelkind","elemtyptype","ord"
"pg_catalog",775,11,"_macaddr8","a",0,False,NULL,774,"macaddr8",NULL,"b",4
"pg_catalog",1034,11,"_aclitem","a",0,False,NULL,1033,"aclitem",NULL,"b",4
"pg_catalog",1014,11,"_bpchar","a",0,False,NULL,1042,"bpchar",NULL,"b",4
"pg_catalog",1015,11,"_varchar","a",0,False,NULL,1043,"varchar",NULL,"b",4
"pg_catalog",1182,11,"_date","a",0,False,NULL,1082,"date",NULL,"b",4
"pg_catalog",1183,11,"_time","a",0,False,NULL,1083,"time",NULL,"b",4
"pg_catalog",1115,11,"_timestamp","a",0,False,NULL,1114,"timestamp",NULL,"b",4
"pg_catalog",1185,11,"_timestamptz","a",0,False,NULL,1184,"timestamptz",NULL,"b",4
"pg_catalog",1187,11,"_interval","a",0,False,NULL,1186,"interval",NULL,"b",4
"pg_catalog",1270,11,"_timetz","a",0,False,NULL,1266,"timetz",NULL,"b",4
"pg_catalog",1561,11,"_bit","a",0,False,NULL,1560,"bit",NULL,"b",4
"pg_catalog",1563,11,"_varbit","a",0,False,NULL,1562,"varbit",NULL,"b",4
"pg_catalog",1231,11,"_numeric","a",0,False,NULL,1700,"numeric",NULL,"b",4
"pg_catalog",2201,11,"_refcursor","a",0,False,NULL,1790,"refcursor",NULL,"b",4
"pg_catalog",2207,11,"_regprocedure","a",0,False,NULL,2202,"regprocedure",NULL,"b",4
"pg_catalog",2208,11,"_regoper","a",0,False,NULL,2203,"regoper",NULL,"b",4
"pg_catalog",2209,11,"_regoperator","a",0,False,NULL,2204,"regoperator",NULL,"b",4
"pg_catalog",2210,11,"_regclass","a",0,False,NULL,2205,"regclass",NULL,"b",4
"pg_catalog",4192,11,"_regcollation","a",0,False,NULL,4191,"regcollation",NULL,"b",4
"pg_catalog",2211,11,"_regtype","a",0,False,NULL,2206,"regtype",NULL,"b",4
"pg_catalog",4097,11,"_regrole","a",0,False,NULL,4096,"regrole",NULL,"b",4
"pg_catalog",4090,11,"_regnamespace","a",0,False,NULL,4089,"regnamespace",NULL,"b",4
"pg_catalog",2951,11,"_uuid","a",0,False,NULL,2950,"uuid",NULL,"b",4
"pg_catalog",3221,11,"_pg_lsn","a",0,False,NULL,3220,"pg_lsn",NULL,"b",4
"pg_catalog",3643,11,"_tsvector","a",0,False,NULL,3614,"tsvector",NULL,"b",4
"pg_catalog",3644,11,"_gtsvector","a",0,False,NULL,3642,"gtsvector",NULL,"b",4
"pg_catalog",3645,11,"_tsquery","a",0,False,NULL,3615,"tsquery",NULL,"b",4
"pg_catalog",3735,11,"_regconfig","a",0,False,NULL,3734,"regconfig",NULL,"b",4
"pg_catalog",3770,11,"_regdictionary","a",0,False,NULL,3769,"regdictionary",NULL,"b",4
"pg_catalog",3807,11,"_jsonb","a",0,False,NULL,3802,"jsonb",NULL,"b",4
"pg_catalog",4073,11,"_jsonpath","a",0,False,NULL,4072,"jsonpath",NULL,"b",4
"pg_catalog",2949,11,"_txid_snapshot","a",0,False,NULL,2970,"txid_snapshot",NULL,"b",4
"pg_catalog",5039,11,"_pg_snapshot","a",0,False,NULL,5038,"pg_snapshot",NULL,"b",4
"pg_catalog",3905,11,"_int4range","a",0,False,NULL,3904,"int4range",NULL,"r",4
"pg_catalog",3907,11,"_numrange","a",0,False,NULL,3906,"numrange",NULL,"r",4
"pg_catalog",3909,11,"_tsrange","a",0,False,NULL,3908,"tsrange",NULL,"r",4
"pg_catalog",3911,11,"_tstzrange","a",0,False,NULL,3910,"tstzrange",NULL,"r",4
"pg_catalog",3913,11,"_daterange","a",0,False,NULL,3912,"daterange",NULL,"r",4
"pg_catalog",3927,11,"_int8range","a",0,False,NULL,3926,"int8range",NULL,"r",4
"information_schema",13170,13158,"_cardinal_number","a",0,False,NULL,13171,"cardinal_number",NULL,"d",4
"information_schema",13173,13158,"_character_data","a",0,False,NULL,13174,"character_data",NULL,"d",4
"information_schema",13175,13158,"_sql_identifier","a",0,False,NULL,13176,"sql_identifier",NULL,"d",4
"information_schema",13180,13158,"_time_stamp","a",0,False,NULL,13181,"time_stamp",NULL,"d",4
